time:45.5043,vol:272.348
time:45.6681,vol:272.631
time:45.8149,vol:273.081
time:45.9539,vol:273.301
time:46.0737,vol:273.771
time:46.2445,vol:274.076
time:46.3563,vol:275.044
time:46.5235,vol:275.987
time:46.6392,vol:277.23
time:46.7946,vol:279.44
time:46.9298,vol:283.447
time:47.0684,vol:284.121
time:47.2253,vol:285.915
time:47.3984,vol:286.673
time:47.5479,vol:288.335
time:47.6897,vol:289.028
time:47.8339,vol:289.481
time:47.9514,vol:290.476
time:48.115,vol:290.774
time:48.2514,vol:291.494
time:48.4306,vol:294.075
time:48.5614,vol:297.93
time:48.7211,vol:299.86
time:48.8556,vol:302.931
time:49.0147,vol:304.711
time:49.1811,vol:306.318
time:49.3345,vol:307.38
time:49.4716,vol:308.637
time:49.6272,vol:309.354
time:49.7563,vol:310.007
time:49.8979,vol:310.693
time:50.0664,vol:311.47
time:50.218,vol:311.721
time:50.3685,vol:311.845
time:50.4882,vol:312.159
time:50.6535,vol:312.279
time:50.7752,vol:312.293
time:50.9483,vol:312.325
time:51.0789,vol:312.352
time:51.2589,vol:312.357
time:51.42,vol:312.378
time:51.5998,vol:312.434
time:51.7483,vol:312.511
time:51.929,vol:314.545
time:52.0469,vol:319.921
time:52.2127,vol:324.134
time:52.3378,vol:329.389
time:52.5319,vol:331.868
time:52.6591,vol:332.644
time:52.8093,vol:332.674
time:52.9467,vol:332.718
time:53.101,vol:332.915
time:53.2259,vol:332.976
time:53.4449,vol:333.281
time:53.5688,vol:333.956
time:53.7161,vol:334.698
time:53.8468,vol:335.208
time:53.9705,vol:336.087
time:54.1372,vol:338.053
time:54.3352,vol:339.117
time:54.4927,vol:342.907
time:54.6339,vol:344.675
time:54.7723,vol:347.381
time:54.8866,vol:349.28
time:55.0466,vol:351.308
time:55.2656,vol:352.565
time:55.4221,vol:354.147
time:55.5521,vol:354.548
time:55.7133,vol:355.002
time:55.8384,vol:355.2
time:56.0155,vol:355.794
time:56.2136,vol:356.499
time:56.3711,vol:358.273
time:56.5138,vol:359.151
time:56.6682,vol:361.27
time:56.783,vol:362.374
time:56.9447,vol:364.047
time:57.131,vol:365.28
time:57.2913,vol:366.656
time:57.4091,vol:367.687
time:57.5731,vol:368.799
time:57.688,vol:369.407
time:57.8349,vol:370.295
time:58.0303,vol:371.427
time:58.1969,vol:372.987
time:58.327,vol:374.614
time:58.4716,vol:375.444
time:58.6185,vol:377.012
time:58.7783,vol:378.836
time:58.9823,vol:381.108
time:59.1623,vol:382.976
time:59.3003,vol:384.166
time:59.5016,vol:384.554
time:59.6198,vol:385.054
time:59.8394,vol:385.594
time:59.9896,vol:387.339
time:60.1441,vol:388.77
time:60.2819,vol:389.986
time:60.4426,vol:391.317
time:60.5565,vol:392.834
time:60.7745,vol:394.604
time:60.8998,vol:396.949
time:61.0764,vol:398.989
time:61.1994,vol:400.194
time:61.3596,vol:401.473
time:61.4741,vol:402.975
time:61.6806,vol:404.792
