///1
time:83.3209,vol:699.486
time:83.7281,vol:699.609
time:83.8709,vol:700.273
time:83.9761,vol:700.396
time:84.1335,vol:700.459
time:84.2452,vol:700.511
time:84.5966,vol:700.817
time:84.7202,vol:702.746
time:84.8502,vol:703.596
time:84.957,vol:704.464
time:86.2197,vol:704.951
time:86.4715,vol:709.446
time:86.5748,vol:709.565
time:86.7179,vol:709.752
time:86.8185,vol:709.792
time:87.153,vol:710.028
time:87.2916,vol:710.889
time:87.4067,vol:711.266
time:87.5162,vol:711.57
time:87.6308,vol:711.762
time:87.7351,vol:711.982
time:87.9303,vol:712.179
time:88.0576,vol:712.704
time:88.1532,vol:713.163
time:88.2963,vol:713.496
time:88.3931,vol:713.614
time:88.492,vol:713.905
time:88.6195,vol:714.01
time:88.8035,vol:714.24
time:88.9383,vol:714.439
time:89.0446,vol:714.508
time:89.1958,vol:714.624
time:89.3006,vol:714.917
time:89.4004,vol:715.224
time:89.6002,vol:715.481
time:89.7099,vol:715.886
time:89.8543,vol:716.104
time:89.9702,vol:716.432
time:90.0932,vol:716.812
time:90.2196,vol:716.924
time:90.3874,vol:717.299
time:90.5143,vol:717.832
time:90.6295,vol:718.098
time:90.7722,vol:718.511
time:90.8948,vol:719.171
time:90.9882,vol:719.32
time:91.1746,vol:719.581
time:91.2894,vol:719.687
time:91.4383,vol:719.701
time:91.5609,vol:719.741
time:91.6864,vol:719.805
time:91.8116,vol:719.824
time:91.9203,vol:719.879
time:92.0636,vol:719.933
time:92.1875,vol:719.987
time:92.2824,vol:720.034
time:92.4256,vol:720.079
time:92.5246,vol:720.088
time:92.6613,vol:720.1
time:92.7834,vol:720.11
time:92.8871,vol:720.121
time:93.0264,vol:720.14
time:93.1407,vol:720.175
time:93.2394,vol:720.196
time:93.3585,vol:720.214
time:93.463,vol:720.216
time:93.5607,vol:720.237
time:93.705,vol:720.256
time:93.8091,vol:720.261
time:93.9414,vol:720.261
time:94.0589,vol:720.262
time:94.1565,vol:720.51
time:94.3018,vol:720.748
time:94.4146,vol:720.841
